#Loop,Duration Loop(sec)
{4},5.960383892059326
{5},5.725725412368774
{1},5.929490804672241
{2},5.826421022415161
{3},6.09599757194519
{4},5.705590486526489
{5},5.715610980987549
{1},6.062340021133423
{2},5.841361045837402
{3},5.880160093307495
{4},6.276719093322754
{5},5.860208988189697
{1},7.351606607437134
{2},8.68756651878357
{3},8.957728862762451
{4},8.443566083908081
{5},11.49516487121582
{1},6.076066255569458
{2},5.877835273742676
{3},5.995276927947998
{4},5.908719539642334
{5},5.724550247192383
{1},5.8973939418792725
{2},5.898308277130127
{3},6.055485963821411
{4},5.944866418838501
{5},5.74395489692688
{1},5.983032941818237
{2},5.870511054992676
{3},5.883732795715332
{4},5.859805583953857
{5},5.7318713665008545
{1},5.986095190048218
{2},8.293972492218018
{3},5.86930513381958
{4},6.017189979553223
{5},5.712835788726807
{1},6.260179042816162
{2},6.020289421081543
{3},6.128096342086792
{4},5.800687551498413
{5},5.757889270782471
{6},6.178815841674805
{1},6.923762798309326
{2},8.759230613708496
{3},8.340733289718628
{4},8.940315961837769
{5},9.374518156051636
{6},9.276272773742676
{1},6.073457956314087
{2},5.956443548202515
{3},6.09830904006958
{4},5.899287700653076
{5},5.7115397453308105
{6},5.884825229644775
{1},5.84996485710144
{2},5.764503240585327
{3},6.130730390548706
{4},5.910696506500244
{5},5.517004489898682
{6},5.891398668289185
{1},5.910935163497925
{2},5.898666858673096
{3},5.964195251464844
{4},6.021570444107056
{5},5.618113994598389
{6},5.7386884689331055
{1},6.869302749633789
{2},5.837162256240845
{3},5.880860090255737
{4},6.069711446762085
{5},5.64235520362854
{6},5.702307462692261
{1},5.93166971206665
{2},5.881190299987793
{3},6.020993709564209
{4},6.0588507652282715
{5},5.644447565078735
{6},5.857560396194458
{7},5.917230129241943
{8},5.839933156967163
{9},8.33293867111206
{10},5.791278839111328
{11},9.242211103439331
{12},9.445406675338745
{13},5.828840017318726
{14},5.972864151000977
{15},12.642078638076782
{16},11.973129987716675
{17},19.968055248260498
{18},26.378275156021118
{1},6.034326791763306
{2},5.9451587200164795
{3},6.029021263122559
{4},8.361286878585815
{5},7.97495436668396
{6},9.348487615585327
{7},16.981712102890015
{8},15.620216369628906
{9},15.114149570465088
{10},13.081871271133423
{11},12.598047971725464
{12},9.660109281539917
{13},6.033191680908203
{14},9.108546733856201
{15},9.776054620742798
{16},6.237310886383057
{17},5.888695955276489
{18},6.2279040813446045
{1},8.41342830657959
{2},9.459592819213867
{3},9.06639313697815
{4},9.385097026824951
{5},8.648531913757324
{6},13.601647853851318
{7},10.017131090164185
{8},8.256857872009277
{9},8.238768815994263
{10},8.210851192474365
{11},11.977408647537231
{12},9.615662813186646
{13},6.259303092956543
{14},5.856325626373291
{15},6.278796434402466
{16},5.808105230331421
{1},9.740711450576782
{2},8.14406681060791
{3},9.509245872497559
{4},11.468115091323853
{5},11.686437606811523
{6},9.973755121231079
{7},8.404762506484985
{8},9.052740335464478
{9},8.851603031158447
{10},8.519105911254883
{11},9.066185712814331
{12},8.745034456253052
{13},9.298930883407593
{14},5.9076988697052
{15},5.9037134647369385
{16},6.022061586380005
{17},5.903040647506714
{18},6.298768758773804
{1},5.980273008346558
{2},5.913672685623169
{3},5.961561679840088
{4},6.133888244628906
{5},5.703539848327637
{6},5.925001382827759
{7},6.179286241531372
{8},12.688586473464966
{9},6.0838706493377686
{10},5.993677139282227
{11},6.145918369293213
{12},5.7933290004730225
{13},8.187408447265625
{14},5.796835899353027
{15},5.9775896072387695
{16},5.909057140350342
{17},5.919373512268066
{18},5.838069438934326
{1},6.276049613952637
{2},5.9841132164001465
{3},6.085455417633057
{4},6.079644441604614
{5},5.825793266296387
{6},5.939070701599121
{7},6.083022594451904
{8},8.278820276260376
{9},10.01983904838562
{10},11.854721784591675
{11},5.899436950683594
{12},9.849212408065796
{13},9.409812688827515
{14},10.465648651123047
{15},5.9992711544036865
{16},6.042790412902832
{1},9.554519414901733
{2},14.238678932189941
{3},8.207095623016357
{4},8.429367542266846
{5},10.204498767852783
{6},9.401983499526978
{7},9.17626142501831
{8},5.926217555999756
{9},5.8366148471832275
{10},6.275879144668579
{11},11.236788272857666
{12},5.742386817932129
{13},6.0831239223480225
{14},8.67322564125061
{1},8.509187936782837
{2},8.277835369110107
{3},9.330829620361328
{4},11.276045083999634
{5},14.312721490859985
{6},13.819002866744995
{7},15.681464910507202
{8},19.354423761367798
{9},21.21090579032898
{10},23.218601942062378
{1},8.775413036346436
{2},10.338033199310303
{3},12.280016422271729
{4},9.84589672088623
{5},9.368197917938232
{6},11.363917112350464
{7},8.383350372314453
{8},5.942913293838501
{9},8.582870960235596
{10},5.940868854522705
{1},8.914459228515625
{1},5.9305946826934814
{1},5.880447864532471
{1},5.885483026504517
{1},6.029831409454346
{1},5.889749526977539
{1},5.879020929336548
{1},6.14605188369751
{1},6.283212661743164
{1},5.994768857955933
{1},6.2711708545684814
{1},8.649584531784058
{1},5.837541580200195
{1},5.922546625137329
{1},5.995191812515259
{1},6.1157591342926025
{1},5.876456260681152
{1},5.927922487258911
{1},6.0109543800354
{1},5.761671781539917
{1},5.960158348083496
{1},6.152343034744263
{1},5.855891942977905
{1},5.900959491729736
{1},6.003982067108154
{1},10.206682920455933
{1},6.094940900802612
{1},5.9270853996276855
{1},5.856242895126343
{1},5.915344476699829
{1},6.02898907661438
{1},5.906163692474365
{1},5.949026346206665
{1},5.7939536571502686
{1},5.713951110839844
{1},5.974710464477539
{1},11.944122791290283
{1},5.851301431655884
{1},5.7943503856658936
{1},7.927336931228638
{1},10.767649412155151
{1},5.84147572517395
{1},5.753004550933838
{1},5.8894944190979
{1},5.8750221729278564
{1},5.782818794250488
{1},5.9880712032318115
{1},5.935098171234131
{1},6.0028235912323
{1},5.8210577964782715
{1},5.862413644790649
{1},6.0386247634887695
{1},5.837348937988281
{1},5.819129467010498
{1},10.831962585449219
{2},11.561701536178589
{3},30.408164739608765
{4},39.20246887207031
{5},34.021108865737915
{6},27.128215789794922
{7},28.929497241973877
{8},39.34076762199402
{9},33.48435068130493
{10},28.605839729309082
{11},34.228455543518066
{1},6.47945499420166
{2},6.381405591964722
{1},6.128716230392456
{2},6.0990378856658936
{1},5.896116256713867
{2},6.002210378646851
{1},8.326780080795288
{2},10.136169672012329
{1},5.968740463256836
{2},5.996949195861816
{1},5.959124803543091
{2},6.466152191162109
{1},5.762763261795044
{2},11.694764614105225
{3},9.811784505844116
{4},30.449116945266724
{5},21.062825441360474
{6},24.492103338241577
{7},22.375208139419556
{8},35.01861572265625
{9},28.848117113113403
{10},35.581100940704346
{11},39.376546144485474
{12},42.30047559738159
{13},33.17278790473938
{14},30.159688711166382
{15},41.61826848983765
{16},45.56602621078491
{17},30.71846055984497
{18},45.124963998794556
{19},40.47177028656006
{20},33.15646171569824
{21},41.89722537994385
{22},53.24501609802246
{23},35.05777859687805
{24},45.44809293746948
{25},41.750128984451294
{26},27.438128232955933
{27},39.908607959747314
{28},29.983410596847534
{29},36.796693086624146
{30},40.44574999809265
{31},27.642288208007812
{32},38.70216655731201
{33},29.900306224822998
{34},47.60672903060913
{35},48.1288857460022
{36},31.838425397872925
{37},40.30093789100647
{38},47.5437228679657
{39},37.42595458030701
{40},39.85211706161499
{41},48.14061212539673
{42},49.0245463848114
{43},31.53755760192871
{44},46.708375453948975
{45},32.06594181060791
{46},41.8551983833313
{47},58.26102375984192
{48},41.359835624694824
{49},32.434998750686646
{50},40.542208194732666
{1},24.49149179458618
{2},34.19468307495117
{3},34.26293396949768
{4},45.803937911987305
{5},37.065216064453125
{6},29.33663272857666
{7},38.31948184967041
{8},28.629267930984497
{9},36.20822811126709
{10},29.248774766921997
{11},44.15333271026611
{12},40.11258125305176
{1},13.685277700424194
{2},20.209800004959106
{1},13.457197189331055
{2},21.533361673355103
{3},20.158217906951904
{4},32.144405364990234
{5},45.63964223861694
{6},26.361866235733032
{7},23.715508699417114
{8},25.439284801483154
{9},45.18970322608948
{10},28.73727011680603
{11},51.43466019630432
{12},44.858439683914185
{1},22.82559633255005
{2},35.757455348968506
{3},27.57041573524475
{4},27.972078561782837
